Time:by and by,on time,from time to time,now,date,year,day,after,then,now and then
Dentist:injury,eat,cleaning,prevention,fear,dental,dental school,mouth,sugar,examination,bands,consultation,instrument,pull,exam,operate,rubber bands,nurse,appointment,crown
Astronomy:half moon,full moon,sky,planet,minor planet,black hole,transit,local arm,lens,universe,solar,solar system,solar wind,red shift,density,big bang theory,Van Allen belt,white giant,gas giant,ice giant
Water:snow,falls,ocean,depth,water cycle,delta,rain,wet,mouth,pure,shower,neck,hurricane,pipe,spray,harbor,flood,gulf,wash,shore
Shopping:membership,fair,buyer,balance,bag,chain,vendor,outlet,bargain,mall,receipt,refund,mart,rebate,booth,boutique,debit,emporium,bazaar
Family:mom,daughter,daughter in law,household,iron clothes,relative,blood relative,sister,half sister,sister in law,heritage,cook dinner,husband,ex husband,twin brother,twin sister,pay the bills,adoption,foster,foster father,foster mother,foster parent,foster child,dad,divorce
Pet:dog,horse,cat,bird,chicken,tropical fish,monkey,rabbit,snake,pigeon,carp,hamster,goldfish
Vegetable:produce,nutrition,rain,preparation,raw,affect,cooking,leaves,eating,packaging,choices,taste,meal,seeds,preference
Cat:tom,cat,Russian blue,tiger,Turkish van,lion,mountain lion,Scottish fold,Norwegian forest cat,oriental
Law:holding cell,affect,investigation,neighborhood,circumstances,identification,bond,requirement,gun,discovery,volunteer,democratic,formal charge,limits,initiative,examination,consideration,guard,illegal,consent,constitution,bargain,cooperation,notification,technique,accessory,ownership,capture,detection,captain
Dance:Latin dance,classical dance,jazz dance,slow dance,Irish dance,hop,hip hop,dragon dance,soft shoe,Scottish dance,folk dance,Mexican hat dance,ice dancing,toe dance,swing
Pirate:violence,fear,arms,pieces of eight,evil,old salt,kill,gun,crew,weapons,illegal,capture,legend,captain,rob,hurricane,coins,deck,deck hands,desert island
Happiness:brain,winning,sweet,sharing,nutrition,over the moon,comfort,pets,walking on air,helping,husband,bowl over,consideration,treat,willing,humor,hobbies,pleasure,take pleasure in,source of pleasure,honor,quiet,luck,joy,corrections,bonds,jokes,satisfied,glad,lucky
Spring:spring break,birth,baseball,life cycle,spring cleaning,grow,rain,grass,robin,rainbow,eggs,rabbit,sunshine,Easter,showers
Algorithms:dynamic,connected,proper,hidden,linear,constant,offline,objective,exact,formal,terminal,ordered,parallel,stable,oriented,absolute,visible,covering,nearest,partial
Weather:raw,investigation,transmission,chemistry,advisory,wet,wave,heat wave,cold wave,warm,warm front,storm,storm tracks,ice storm,liquid,shower,snow shower,measurement,solar system,outlook,bright,broadcast,density,severe,detection,hurricane,hurricane season,jet stream,smoke,ridge
Dessert:sweet roll,ice cream,chocolate bar,fruit,sugar,cookies,cake,fruit cake,chocolate cake,yellow cake
Landform:rise,dell,cape,delta,river delta,peak,mountain peak,plain,mouth,bowl,neck,gap,ridge,mid ocean ridge,desert,summit,depression,gulf,fault,shore
Music:bass,peak,bell,sharp,lane,export,template,wave,meter,paint,delay,pan,loop,instrument,split,shift,piano,echo,reverse,pulse,strip,strike,opera,duration,gate,tone,stereo,tube,cache,console
Data Structure:filter,string,dictionary,bag,matrix,array,vector,buffer,graph,container,stack,queue,hash,heap,zipper,trie
Time:earlier than,evening,frequently,cycle,moon,clock,water clock,clock face,digital clock,bell,fiscal year,delay,tomorrow,tonight,shift,afternoon,alarm,alarm clock,era,dial,semester,anytime,everyday,analog clock,sunset,midnight,decade,atomic,noon,high noon
Birthday:birthday,happy birthday,ice cream,hat,party hat,paper plate,guests,chocolate,treat,treat bags,banner,anniversary of birth,noise maker,cake,birthday cake,throw a party,pizza,candy,invite,gift wrap
Post Office:letter,sea mail,PO box,postal money order,printed matter,deliver mail,postage,postal clerk,stamp,stamp machine,junk mail,cancelled stamp,mailman,mailbox,commemorative stamp,postbox
Election:majority,convention,represent,lose,poll,exit poll,term limits,winner,candidate,constitution,US Constitution,democracy,voting machine,legislative branch,mayor,senator,Republican,minority,swing vote,protest vote
Energy:power transmission,transmission lines,wave power,efficiency,efficient,reflect,engineer,solar panel,solar power,flexible fuel,carbon,carbon tax,magnetic energy,grid,electrical grid,power grid,off the grid,sustainable,generate,high voltage,mining,jet fuel,static electricity,pollution,thermal energy
Money:bill,quarter,dollar,cent,euro,pound,coin,penny,nickel,peso,yuan,rupee,dime,ruble
Crime:judge,lawyer,kill,gun,illegal,spy,commit a crime,alarm,car alarm,rob,prison,escape,fraud,murder,armed
Gasoline Engine:air filter,engine block,oil pan,fan belt,cooling fan,distributor,starter,oil drain hole,gasoline pump,spark plug cable
Container:plate,carrier,bowl,pan,dish,vat,folder,file folder,bottle,water bottle,holder,tube,test tube,cabinet,packet
Algebra:connected,matrix,combination,dot,identity,represent,pair,mathematics,symbol,requirement,linear,constant,kernel,sum,formula,absolute,evaluate,vector,fundamental,graph,explanation,independence,sentence,solve,unlike,equation,dimension,odd,arabia,projection
Sewing:iron,tape measure,feed dogs,dress form,patterns,pin,cotton,fabric,buttons,silk,hook and eye,trim,cloth,bow,bias tape
Wood Burning Stove:poker,log carrier,loading door,trim collar,ash lid,air inlet control,chimney pipe,chimney pipe elbow,broom,shovel
Military:lose,hop,carrier,aircraft carrier,gun,engineer,crew,tank,navy,pilot,PT boat,coast guard,boot,shell,chip,capture,plane,formation,captain,liberty,honor,jet,gang,pipe,lay,deck,Purple Heart,yard,radar,rescue
Clothes:sun hat,top hat,formal wear,threads,tank top,boot,twin set,suit,shift,boots,tube top,belt,jacket,dinner jacket,leather jacket,life jacket,pants,crown,shoe,tie
Color:secondary,sky blue,cream,crystal cream,chocolate,navy,navy blue,gray,milk white,antique,grey,blue grey,dark grey,light grey,bone,jet,purple,desert,desert sand,spectrum,ebony,copper,copper red,brass,cherry
Summer:ocean,recreation,outdoors,ice cream,July fourth,fourth of July,fresh fruit,warm weather,swimming cap,journey,camping,Independence Day,ease,shorts,grass,bikini,diving,gardening,hiking,tan
Sport:lose,wave running,arts and crafts,crew,stick,hockey,field hockey,ice hockey,winner,guard,visiting team,swimming,open water swimming,catch,hunting,swimming suit,strike,capture the flag,camping,throw,free throw,weight throw,championship,riding,motorcycle racing,target shooting,tie,walker,dodge ball,rush
Chinese Calendar Sign:dog,horse,dragon,tiger,rat,monkey,rabbit,sheep,snake,pig,ox,rooster
Food:fruit,sugar,bowl,pan,dish,rice,brown rice,milk,lunch,lunch box,chicken,beer,fig,meat,taste,cheese,cream cheese,cake,rolling pin,digest,pizza,glasses,chips,candy,candy apple
Job Related:replace,physical examination,labour law,labour market,labour input,labour exchange,labour costs,salary,earn,night shift,shift work,industrial accident,strike,strike pay,sit down strike,generate,organized labour,valuable,appointed,responsibilities,worker,office worker,farm worker,permanent worker,advanced worker,occupation,demonstrate,realize,well trained,decrease
Fire:light,char,burn,bake,torch,toast,roast,melt,blaze,blister
3D Graphics:tracking,array,export,logic,mesh,lens,node,paint,loop,scan,bone,tube,smoke,simulation,buffer,pipeline,graph,shadow,atmosphere,lamp,ghost,fluid,trace,curve,highlight
Design:sharp,export,spread,template,circle,border,bright,landscape,banner,smooth,contrast,convert,layout,vector,thumbnail,mask,crop,curve,portrait,margin
Seasoning:bay,salt,sugar,mint,pepper,lemon,sage,ginger,curry,soda
Airport:transit,coach service,exit,visa,international terminal,airport terminal,hotel reservation,scheduled time,airline coach service,gate,rail ticket,cafe,immigration,immigration counter,departure,international departure,departure lounge,domestic departure,departure gate,departure time
School:lunch,lunch box,push pin,calculator,swimming,swimming pool,classroom,choices,charter,editing,folder,file folder,exam,bathroom,lesson,rubber bands,gap,seats,columbus day,nurse,pen,felt tip pen,composition book,graph paper,grades,experiment,assignment,globe,excellence,intelligent
Injury:cut,black eye,broken bone,burn,sun burn,scratch,lump,fracture,swelling,splinter
Taste:rank,sweet,dry,rare,sharp,plain,warm,weak,honey,ripe,delicious,mild,sticky,foul,bitter
Shoe:tennis shoes,boots,army boots,jump boots,work boots,rain boots,ski boots,rubber boots,thongs,deck shoes,riding boots,toe shoes,steel toe boots,open toe shoes,athletic shoes
Condiment:oil,salt,sauce,honey,butter,pepper,olive,onion,garlic,chili
Animal:fruit fly,kid,chicken,Cape hunting dog,flying fish,buffalo,cape buffalo,python,African rock python,jay,blue jay,asp,eagle,golden eagle,sand dollar,seal,Rhode Island red,tiger,white tiger,wolf
Architecture:panel,column,tower,arcade,projection,arch,patio,terrace,pavilion,bracket
Mathematics:estimate,universe,outstanding,formula,resistance,split,magnetic,grid,technique,calculate,density,parallel,angle,convert,principle,algorithm,gross,vertical,absolute,attribute,skill,trend,fundamental,graph,spectrum,demonstrate,experiment,ranking,segment,puzzle
Instrument:tom tom,double bass,piano,drum,drum set,bass drum,recorder,steel drums,French horn,triangle
Measurement:foot,inch,meter,mile,yard,pound,ton,grams,gallon,ounces
Visual Arts:template,draw,paint,oil paint,painting,perspective,drawing,cartoon,landscape,contrast,tone,tube,animation,craft,pen,exhibition,composition,exhibit,pottery,clay,gold leaf,silk screen,photograph,canvas,artwork
Punctuation Marks:period,question mark,dash,colon,brackets,quotation marks,single quotation marks,asterisk,slash,comma,parentheses,exclamation point,semicolon,ellipses
Physics:shift,bodies,magnetic,interaction,plasma,mechanical,pulse,density,generate,flying,aviation,voltage,angle,absolute,absolute zero,substance,vector,turning,inquiry,fundamental,fundamental force,progressive,graph,electricity,spectrum,aspect,lift,yard,radiation,atmosphere
Computer:boot,shell,spyware,finder,shift,shift key,grid,blogger,tab,router,folder,upload,scan,exception,cache,data mining,algorithm,modem,buffer,syntax,graph,wiki,shareware,configure,bandwidth,caps lock,analog,toolbar,firewall,scanner
Education:principal,curriculum,curriculum included,dean,assistant dean,academic dean,dean of students,dean of studies,examination,marks,instructor,educational highlights,semester,prize fellow,undergraduate,abroad student,scholarship,bachelor,supervisor,specialized courses,qualify,recreational activities,rewards,qualification,auditor
Dinnerware:cup,tea cup,serving bowl,sugar bowl,soup bowl,butter dish,salad bowl,salad plate,rim soup bowl,coffee mug
Restaurant:plate,fruit,sugar,bowl,dish,reservation,gourmet,milk,lunch,chicken,afternoon tea,meat,cake,cafe,bread,ingredients,meal,beef,knife,sauce,eggs,soup,candle,butter,pepper
Algorithm:matrix,combination,circuit,array,relation,bound,node,tournament,sum,grid,algorithm,graph,segment,leaf,median,diameter,pointer,stack,tail,complexity,interval,conjunction,sink,queue,rotation
Cheese:blue,swiss,brick,colby,romano,cheddar,parmesan,mozzarella,brie,feta
Size:flat,broad,massive,tiny,giant,tall,miniature,immense,humongous
Law:commit,determination,lease,ongoing,liberty,commissioner,dangerous,attachment,honor,principle,admission,victory,citizen,interpretation,bankruptcy,prison,worse,fundamental,escape,judgment,fraud,emphasis,aspect,involvement,murder,radar,search and rescue team,ward,assignment,violation
Gas:air,oxygen,hydrogen,nitrogen,neon,carbon dioxide,propane,methane,helium,nitric oxide,carbon monoxide,butane,freon
Biology:scope,biology,muscle,solar,classification,plasma,seed,taste,producer,inquiry,tissue,pollution,metabolism,quest,vital,sensor,vitamin,hybrid,leaf,migration,habitat,genetics,discipline,voluntary,transformation
Hotel:plug,mirror,reservation,shower,shower bath,twin room,sitting room,twin beds,bathroom,central heating,lounge,roof garden,floor lamp,desk lamp,wall lamp,hat rack,reception office,socket,carpet,desk clerk,hook,mat,door mat,toilet,toilet paper
Weapon:machine gun,night stick,tank,tank gun,shell,blackjack,blow pipe,billy club,arrow,blade,knife,hunting knife,bomb,atom bomb,nuclear bomb
Halloween:prince,face paint,treat,strange,monster,bone,crown,shadow,princess,shock,beast,ghost,candy,hair raising,devil,robot,wizard,mask,midnight,weird
Construction:soil,clearance,adapter,paint,router,concrete,flashing,layout,ridge,cabinet,roof,offset,beam,cricket,threshold,brad,trim,grain,soldier,tongue
Corporate:dynamic,infrastructure,delta,principal,investor,initiative,transition,ownership,innovation,expertise,deck,vector,skill,skill set,brass,legacy,functionality,bandwidth,talent,sunset,dialogue,methodology,scenario,baseline,alignment,cowboy,schema,ping,convergence,lateral
Kitchen:dish,cutting board,bottle,coffee maker,ice cream maker,cake stand,cake pan,cabinet,rolling pin,pizza pan,pizza wheel,dish rack,glasses,coffee mill,bread basket,pot,soap,dish soap,plastic wrap,cookie sheet
Head:eye,mouth,temple,ear,nose,tongue,lip,bald head,tooth,chin
Vacation:highway,leisure,visa,safari,lodge,ski lodge,photographs,journey,plane,camping,jet,mountains,tourist,lodging,sight seeing,overnight bag,shore,departure,zoo,customs,passage,trunk,automobile,translate,luggage,cab,ferry,passport,motel,guided tour
City Name:Pittsburgh,Cleveland,Detroit,Buffalo,Tampa,Melbourne,Columbus,Madison,Fort Wayne,Richmond,Sacramento,Cincinnati,Dublin,Nashville,Milwaukee,Amsterdam,Tokyo,Montreal,Minneapolis,Memphis,Ottawa,Durham,Jacksonville,Oakland,Indianapolis
Weather:tropical,tropical storm,tropical wave,composition,inquiry,mercury,depression,tropical depression,electricity,rain shadow,dust storm,radar,radiation,pollution,air pollution,demonstrate,atmosphere,chemicals,cloudy,uniform,survival,thermal,vital,flood,flood stage,flash flood,partly cloudy,dust devil,triple point,axis
Emotion:bold,severe,liberal,alarm,mad,horror,capable,joy,alive,sick,conservative,surprise,glad,pride,lucky,casual,weak,wise,pleased,sad,understood,rough,weird,inspired,tired
Body:legs,muscle,bone,leg,neck,tissue,ear,throat,toe,big toe,finger,index finger,chest,sole,liver,shoulder,shoulder blade,thumbs,nose,arch
Hospital:patient,doctor,specialist,security guard,visitor,physician,nurse,medical technician,surgeon,psychiatrist,pediatrician,ophthalmologist,dietician,anesthesiologist
Beach:sun hat,wet,shell,swimming cap,water bottle,life jacket,sand,sand dollar,spray,shore,bikini,surf,hang five,waves,sunglasses,tan,relax,coral,swim,dive
Science:physics,evolution,climate,chemistry,biology,test tube,tissue,electricity,experiment,genetics,mineral,astronomy,scientist,particle,quantum mechanics,observe,gravity,hypothesis,geology,graduated cylinder
Leisure Activity:hunting,listening to a concert,journey,acting,camping,hobbies,jet ski,journey underground,yoga,ice dancing,wake board,appreciate nature,worship,rugby,diving,cycling,cricket,skiing,water skiing,cross country skiing,hiking,wrestling,bowling,lawn bowling,studying
Camping:walking,hat,wildlife,trail,trail mix,hunting,boots,trailer,water bottle,woods,sleeping bag,hiking boots,cabin,rope,tent,climb,caravan,compass,insect,backpack
Bicycle:chain,chain guard,spoke,air valve,hub,brake,front brake,rear brake,tire,rear tire
Cooking:heat,rolling pin,burn,measuring cup,knife,steam,grill,microwave,fork,mixing bowl
Mammal:fox,buffalo,cape buffalo,seal,tiger,wolf,red wolf,mice,lion,mountain lion,California sea lion,camel,rat,bull,deer
Dessert:coffee cake,birthday cake,angel food cake,ice cream cake,black forest cake,candy,pound cake,quick bread,jam,cookie,sugar cookie,chocolate chip cookie,fortune cookie,honey,pie
Yard:fruit tree,swimming pool,gate,garage,yard,plant pot,grass,swing,rocks,lawn,welcome mat,pond,bench,patio,patio furniture
Writing:biography,genre,novel,plot,assignment,deadline,pace,outline,dialogue,bibliography,hook,narrative,formatting,myth,imprint
Machine Learning:instance,objective,parameter,cluster,precision,generator,dimension,boundary,recall,bias,correlation,batch,confusion,hypothesis,regression
Bird:jay,blue jay,eagle,golden eagle,Rhode Island red,bird of paradise,egg,shore bird,migration,robin,American Robin,tail,prairie chicken,duck,chick
Driving:accident,parallel parking,seat belt,garage,semi,mph,crash,motorcycle,yield,rush hour,danger,hybrid,pot hole,rev,traffic jam,median,shoulder,high beam,low beam,curve,automobile,indicator,steering wheel,tail,emission,brake,tire,flat tire,railroad crossing,tunnel
Job:system analyst,nurse,health nurse,producer,shoe maker,actor,coordinator,fashion coordinator,baker,broker,florist,talent,supervisor,singer,clerk,photographer,planner,civil planner,farmer,soldier,chef,trainer,architect,nation railroad man,composer
Law:sentence,uniform,obligation,penalty,armed,deputy,sealed record,complaint,capability,minority,integrity,legacy,danger,fault,preliminary findings,credit theft,wisdom,jurisdiction,witness,judicial,attitude,defendant,petition,belief,intervention,victim,headquarters,adopt,reputation,juvenile
Finance:par value,collect,mutual funds,progressive,depression,venture,yield,institutional trading,obligation,broker,reserves,insider information,exceed,correction,automated,adjustment,falling price,wage,intervention,odd lot,adjustable,arrangement,zero coupon bond,interest bearing,authentic,bull,wide ranging,authorization,margin,calculation
Bread:cookies,cake,coffee cake,brown bread,white bread,corn bread,pie,rolls,sweet rolls,hard rolls
Building:parliament,temple,prison,electricity,clinic,mall,shopping mall,strip mall,palace,warehouse,institutional,tall,arena,mill,warren,convenience store,headquarters,railway station,stadium,ranch,cottage,complexity,arch,gym,depot,compound,ferry terminal,ferry slip,motel,shelter
Tool:router,plane,block plane,sand paper,safety glasses,measuring tape,knife,utility knife,brad,brush,wire brush,paint brush,nail,nail set,bench saw
Cotton:jersey,oxford,terry,canvas,heather,fleece,velvet,denim,plaid,twill
Winter:ice hockey,storm,ice storm,boots,jacket,show shoe,coat,down coat,gloves,flu,candle,ice dam,frozen,socks,cold snap,polar,wool,arctic,fog,Merry Christmas
Clothes:tie clip,white tie,uniform,school uniform,glasses,shorts,rugby shirt,slip,earrings,coat,lab coat,suit coat,top coat,sport coat,bikini,jeans,wrap,hook and eye,gloves,panama hat,bracelet,sunglasses,costume,underwear,long underwear
Sport:yoga,champion,uniform,baseball uniform,ice dancing,arena,rugby,kick,shoot,spin,athletics,triple play,triple jump,diving,skin diving,balance beam,cycling,arrow,tee,cricket,stroke,skiing,jet skiing,water skiing,cross country skiing,mountain climbing,rock climbing,hiking,wrestling,chase
Astronomy:red giant star,Mercury,spectrum,dust,radiation,background radiation,shooting star,cluster,vacuum,nova,Mars,falling star,binary star,opposition,fusion,space exploration,astronomy,omega,probe,pole star,escape velocity,electron,radius,conjunction,eclipse
Materials of Clothes:leather,cotton,rubber,silk,wool,linen,denim,straw,suede,woolen
Tree:fig,rubber tree,grove,pine,white pine,jack pine,cherry,maple,Japanese maple,sugar maple,silver maple,Norway maple,cedar,olive,ash
Christmas:stable,Christmas cookies,trips,announcement,tradition,candy,angels,bread,wise men,camel,sauce,white sauce,butter,pie,candles,sacred,stockings,celebrate,family reunion,Jerusalem
Military:combat,rack,uniform,brass,wake,enemy,at ease,troops,reserves,sight,charlie,shoot,corps,arrow,headquarters,hook,knife,founder,stack,stem,neutral,bearing,trim,fleet,commander,soldier,bomb,interval,assault,engage
World:Czech,Dutch,Korean,Polish,Thai,Swedish,Turkish,Portuguese,Danish,Arabic,Norwegian,Hebrew,Hungarian,Welsh,Bulgarian
Thanksgiving:dish,meat,taste,tradition,bread,leaf,meal,sauce,corn,sweet corn,Indian corn,oven,pie,apple pie,autumn,harvest,rolls,treaty,vegetables,celebrate
House:gate,garage,garage door,yard,front yard,roof,lamp,den,entrance,carpet,beam,vacuum cleaner,shelf,book shelf,threshold,bedding,ranch,cottage,trim,ceiling,mat,welcome mat,oven,toilet,laundry,laundry room,nail,tub,bath tub,nursery
Cosmetic:foundation,cream,soap,mask,perfume,fragrance,makeup,body lotion,shampoo,lipstick,deodorant,aftershave,eyeliner
Mathematics:outcome,solve,introduce,equation,probability,dimension,symbols,disorder,axis,median,adjustment,integer,binary,arc,diameter,discipline,quantum,transformation,acute,curve,projection,extract,diagnostic,inclusive,three dimensional,margin,interval,investigate,proportion,junction
Physics:experiment,uniform,vacuum,thermal,pound,dynamics,reception,suspension,fluid,machinery,equation,axis,attraction,discipline,quantum,quantum jump,transformation,variation,acoustic,compression,theoretical,grain,proportion,atomic,pitch,emission,apparent,newton,velocity,identical
Dental Care:cup,smile,breath,teeth,filling,root canal,tooth fairy,dental surgeon,erosion,dentist
Hand:palm,little finger,middle finger,third finger,nail,fist,thumb,wrist,fore finger,knuckle
Music:composition,solo,repeat,drum,amp,phrase,pad,slip,swing,offset,jam,singer,plugin,arrangement,stretch,timing,sing,carol,stack,stem,tune,compression,trim,interval,pitch,midi,bend,vocal,organ,paste
Plant:seed,grove,hybrid,leaf,simple leaf,grass,alternate leaves,shoot,opposite leaves,blade,trunk,stem,grain,margin,brush,composite flower,compound leaf,bean,tap root,sage
Castle:wall,watch tower,knight,shield,sword,cannon,samurai,archer,dungeon,moat,drawbridge
Car:converter,mirror,solar powered,rack,sensor,hybrid,hot rod,valve,automobile,cloth top,starter,low rider,differential,jeep,cabin,taxi,taxi cab,cylinder,patrol car,bumper
Food:bread,daily bread,sole,vitamin,pot,cherry,egg,mint,liver,fed,cookie,beef,knife,seeds,juice,sauce,hot sauce,eggs,corn,soup,cottage cheese,cod,grill,grain,honey,oven,salmon,butter,pepper,bell pepper
Country:Poland,Vietnam,Malaysia,Philippines,Indonesia,Argentina,Ukraine,Afghanistan,Kenya,Peru,Romania,Colombia,Saudi Arabia,Venezuela,Nepal,Nigeria,Bangladesh,Morocco,Congo,Tanzania,Sudan,Uganda,Syria,Ghana,Ethiopia,Myanmar,Uzbekistan,Algeria,Burma
Job Related:old age pension,rehabilitation,pay slip,achievement,payday,occupational disease,occupational history,collective agreement,wage,minimum wage,maximum wage,basic wage,wage index,refine,clerk,discharge,specialized worker,eliminate,seasonal work,seasonal worker,wage ceiling,quit,invest,engage,separated,demonstration,unemployment,seasonal unemployment,unemployment benefit,profession
Dentist:diagnosis,tissue,infection,partial,medication,smile,correction,hurt,caps,injection,brush,teeth,permanent teeth,primary teeth,adult teeth,false teeth,front teeth,wisdom teeth,baby teeth,lips,filling,root canal,drill,sink,diploma
Fast Food:sub,frank,wrap,sandwich,burger,melt,philly,taco,clubhouse,slider
Beef:plate,T bone,neck,wing,shoulder,blade,cross rib,rib eye,chuck short rib,short ribs
Negative Feeling:dangerous,mad,stupid,sad,fed up,afraid,suffering,damaged,desperate,angry,imposed upon,rejected,confused,accused,lonely
Virtue:joy,excellence,charity,moral,integrity,flexibility,wisdom,noble,discipline,self discipline,courtesy,ethical,sensitivity,accountability,discretion,unity,tolerance,creativity,humanity,caring
Business:mention,possibility,promise,explanation,extend,penalty,decrease,refund,deadline,confirmation,inform,mistake,afford,repairs,authorization,retailer,margin,suggestion,invest,approve,admit,distribute,advise,enquiry,refuse,organize,invoice,succeed,reminder,divide
Farm:gate,till,tend,combine,egg,seeds,corn,farmer,ranch,bull,honey,harvest,rabbit,ripe,sheep,dairy,wheat,bee,cattle,duck
Imaginary People and Animal:spirit,phoenix,dragon,robot,vampire,mermaid,unicorn,snowman,Martian,capricorn
Subject:math,mathematics,chemistry,psychology,biology,drama,geography,world geography,astronomy,gym,geometry,sociology,anatomy,algebra,geology,anthropology,archaeology,calculus,botany,zoology,archeology,trigonometry,keyboarding
Pirate:navigate,escape,quest,chest,danger,shore,torture,hook,knife,fortune,rat,violent,fleet,assault,cargo,first mate,sailing,sword,vessel,anchor,yellow fever,treasure,treasure island,raid,cave
Animal:red wolf,egg,pill bug,mice,lion,mountain lion,sea lion,California sea lion,cricket,robin,American Robin,Portuguese water dog,camel,rat,cod,bull,deer,monkey,salmon,spider,rabbit,jack rabbit,sheep,prairie chicken,coral
Happiness:lovely,worship,legacy,pleased,paradise,glory,glory in,animated,attitude,good mood,in a good mood,please greatly,pleasant,engagement,on cloud nine,reputation,courtesy,excited,precious,sunny,tears of joy,sunshine,high spirits,in good spirits,concerts,happiness,harmony,maternity,overcome,seventh heaven
Dog:fighting dog,hunting dog,Cape hunting dog,rescue dog,pointer,Portuguese water dog,companion dog,Australian cattle dog,pit bull,breed,puppy,lap dog,Newfoundland,German shepherd,terrier
Bathroom:powder,wash,soap,soap dish,perfume,basin,wash basin,brush,bath mat,face cloth,toilet,toilet paper,toilet seat,medications,nail file
Reptile:python,African rock python,asp,snake,ribbon snake,pine snake,rat snake,coral snake,bull snake,corn snake
Mobile Phone:wallpaper,upload,ringtone,modem,packet,bandwidth,analog,binary,app,antenna,subscriber,headset,activation,byte,pixel,tap,stylus,infrared,firmware,duplex,codec,latency,accelerometer
Catering:lunch,chicken,beer,cheese,meal,knife,sauce,soup,grill,starter,pepper,vegetables,salad,fork,vegetarian,bacon,buffet,freezer,dessert,spoon
Creation:expand,launch,generate,extend,boost,construct,forge,multiply,spawn,invent,actualize
Ocean:flying fish,sand dollar,seal,harbor seal,waves,cod,salmon,scales,coral,sea cow,fur seal,tide pool,reef,coral reef,barrier reef
Frequency:twice a month,normally,regularly,constantly,occasionally,hardly ever,rarely,hourly,yearly,continuously,seldom
Wine:port,champagne,noir,burgundy,blanc,sherry,mead,cabernet,madeira,chardonnay
Personal Characteristic:objective,capable,intelligent,careful,cooperative,logical,realistic,analytical,steady,precise,aggressive,gentle,systematic,competent,generous
School:excel,geography,worry,pad of paper,grounds,atlas,quiz,weddings,halloween,injection,flu,bikes,gel pen,assignments,weekends,gym,anxiety,homework,nursery,paste,reunion,males,females,trick or treat,grammar,bookmarks,observe,tournaments,thesaurus,water fountain
Building Material:wood,floor tile,ceiling tile,particle board,flooring,cement,foam insulation,fiberglass insulation,plaster,plywood
Sound:soft,quiet,silent,loud,gentle,piercing,noisy,faint,mute,roaring
Weather:observation,seasons,sunset,trace,rainbow,cloud,cloud bank,wall cloud,steam,violent,gauge,rain gauge,autumn,sunny,velocity,frozen,sunshine,layers,temperatures,clouds,low clouds,trigger,warnings,eclipse,humidity,relative humidity,circulation,showers,cold snap,calm
Computer:integer,binary,app,podcast,cookie,surf,cloud computing,freeware,restore,byte,Macintosh,hacker,interval,macro,debug,drag,encryption,paste,float,tap,scroll,scroll bar,reload,compile,inline,fork,screenshot,timer,queue,snapshot
Linguistics:regular,marked,descriptive,taxonomic,figurative,generative,unproductive,diachronic,synchronic
Movement:walk,hop,sit,rush,spin,sprint,dash,bolt,hike,hurry,crawl,stroll,tread,sway,roam
Number:billion,nine,twenty,hundred,thousand,thirty,twelve,fifty,fifteen,eleven,sixty,sixteen,thirteen,eighteen,fourteen,seventy,seventeen,nineteen,fourty
Container:rack,drum,chest,pot,container,trunk,tin,basin,luggage,grocery bag,tub,vessel,tray,cube,cooler,trash bin,envelope,garbage can,barrel,jar
Car Parts:rack,sensor,air cleaner,valve,trunk,distributor,steering wheel,temperature gauge,oil gauge,starter,brake,emergency brake,tire,differential,cabin,horn,cylinder,master cylinder,gasoline level gauge,bumper
Pasta:stars,wheels,alphabet,shells,spaghetti,thin spaghetti,bows,noodles,thin macaroni,elbow macaroni
Network:router,ethernet,packet,segment,lan,firewall,mask,hub,twisted pair,passive,ping,collision,backbone,latency,unshielded
Geography:southwest,gulf,geography,southeast,atlas,road atlas,canyon,projection,map projection,northeast,pole,magnetic pole,South Pole,North Pole,North Magnetic Pole,South Magnetic Pole,oasis,pond,prairie,canal,cave,latitude,degree of latitude,Arctic,Arctic Circle,mesa,kilometers,geographic coordinates,reef,peninsula
Color:mint,coal,rainbow,amber,camel,protective color,ruby,corn,bronze,bronze black,bronze blue,purple bronze,sandy,pitch black,salmon,tan,olive,olive green,heather,lemon,ash,coral,wheat,brick red,transparent,oriental ted,sap green,jungle green,ivory,shade
Kitchen:measuring cup,knife,juice glass,sauce boat,sauce pan,corn pick,tin,soup bowl,grill,honey pot,oven,Dutch oven,butter dish,pepper mill,pie plate,microwave oven,salad bowl,cookbook,sink,fork,mixing bowl,tray,steel wool,timer,egg timer
Geometry:vertical,dimension,alternate,axis,median,diameter,transformation,acute,curve,horizontal,distinct,adjacent,composite,pole,coordinate,reflection,triangle,cube,envelope,rational,cylinder,vertex,sphere,altitude,cone
Travel:mile,delay,pilot,gate,leg,passenger,confirmation,hub,passport,taxi,porter,mileage,fare,continent,itinerary,concierge,consulate,kilometer,concourse,layover
Headgear:sun hat,crown,riding cap,Panama hat,swim cap,alpine hat,cowboy hat,derby,helmet,diving helmet,space helmet,football helmet,cricket helmet,cycling helmet,ski helmet
Filmmaking:loop,plot,cinema,producer,analog,supervisor,costume,spec,synopsis,composer,grip,boom,microphone,adaptation,bounce,prop,wardrobe,loader,foley,dolly
