Degree:degree,master,certificate,doctor,bachelor,diploma
Mineral:emerald,quartz,graphite,agate,bismuth,halite
Salad Dressing:oil and vinegar,house dressing,blue cheese,thousand island,French dressing,ranch,vinegar
Bill:write a check,account number,check book,credit card,amount due,cash,overdue
Continent:South America,North America,Australia,Europe,Africa,Asia,Antarctica
Day of Week:Friday,Monday,Sunday,Tuesday,Saturday,Thursday,Wednesday
Money:bill,quarter,dollar,cent,coin,penny,nickel,dime
Storage:bureau,cabinet,chest,buffet,bookshelf,bookcase,sideboard,credenza
Luggage:carry on bag,makeup case,tote bag,garment bag,duffle bag,luggage carrier,trunk,suitcase,knapsack
New Year:January,December,party,calendar,holiday,resolution,midnight,celebrate,countdown
Football:end,middle guard,guard,tackle,quarterback,linebacker,cornerback,fullback,halfback
Headgear:baseball cat,cap,hat,ear muffs,helmet,scarf,bandana,beret,hardhat
Linguistics:regular,marked,descriptive,taxonomic,figurative,generative,unproductive,diachronic,synchronic
Harbor:ship,dock,crane,lighthouse,wharf,buoy,shipyard,breakwater,tugboat
Insect:fly,cricket,bee,butterfly,ant,tick,beetle,flea,mosquito,dragonfly,caterpillar,moth,wasp,lice,termite,ladybug,grasshopper,cockroach,maggot
Frequency:once in a blue moon,every now and then,once a year,a few times,twice a month,three times a week,not often,at times,all day,every time,four times an hour,every year,most times,many times,every two months,every third day,very often,three times,every week,four times
Prepositions:on,by,with,from,at,as,about,away from,up,like,than,over,into,next,after,through,under,off,before,within
Time Related:from time to time,for a long time,once upon a time,after,later than,last week,before,earlier than,many times,many years ago,today,during,long ago,never,always,usually,often,soon,recently,sometimes
Job Related:name,state,last name,city,family name,high school,phone number,middle name,education,address,area code,junior high school,telephone number,children,graduate school,country,elementary school,college,present address,previous experience
Computer:data,number,software,line,type,Internet,code,file,open,network,text,digital,save,process,select,comment,memory,format,close,database
Corporate:system,item,international,report,national,address,community,technology,network,content,customer,value,source,process,table,market,action,model,human,application
Business:order,report,send,check,own,change,return,department,description,reply,customer,provide,process,stock,join,sales,market,industry,plan,feedback
Web:message,send,type,area,link,open,download,access,profile,title,property,visit,source,gallery,action,browse,event,share,log,close
Baseball:strike out,day game,first baseman,strike two,two balls,game,play off,call,night game,center fielder,foul line,right fielder,field,exhibition game,strike three,three balls,run,farm team,visiting team,short stop
Military:line,file,section,house,guide,board,rate,level,man,party,range,hand,head,track,log,director,island,front,cover,watch
Shopping:total,shop,directory,return,account,department,customer,sale,credit,box,category,market,cart,payment,seller,purchase,discount,cash,owner,retail
Quantity:some,add,each,many,both,another,every,few,several,either,none,increase,remove,reduce,grow,raise,numerous,extend,boost,decrease
Building:store,department store,school building,house,office building,gallery,market,library,convenience store,fire department,shopping mall,barber shop,movie theater,bank,church,apartment building,airport,gas station,station,hall
Music:control,property,card,left,note,staff,play,key,browse,audio,event,major,cell,format,window,region,record,lyrics,step,bit
Telephone:white pages,mobile phone,recorded message,telephone book,unlisted number,credit card call,cell phone,long distance call,yellow pages,conference call,desk phone,dial phone,telephone card,collect call,touch tone phone,telephone,telephone operator,telephone booth,busy tone,dial tone
Time:today,computer,during,digital,cell phone,week,second,never,always,month,usually,often,watch,soon,season,hour,recently,century,sometimes,zone
Book:best seller,index,picture book,reference book,text,title,comic book,head,cover,running head,magazine,chapter,contents,inside margin,edge,explanatory notes,dictionary,paperback,joint,column
Geography:north,country,source,west,key,east,range,beach,land,region,island,sound,lake,bay,river,capital,channel,degree,hill,valley
House:book shelf,TV room,table,study,sun room,living room,key,picture,garden,radio,dining room,coffee table,window,air conditioner,apartment building,furniture,foundation,bed,glass,hall
Number:one,two,three,four,five,six,ten,seven,eight,nine,twenty,twelve,fifteen,eleven,sixteen,thirteen,eighteen,fourteen,seventeen,nineteen
Subject:history,art,computer science,science,English,physical education,social studies,language arts,reading,engineering,writing,French,statistics,band,medicine,German,literature,architecture,economics,physics
Hotel:service charge,room number,gift shop,single room,tax,money exchange,coffee shop,double room,morning call,twin room,room maid,inn,extra bed,floor,restaurant,suite,checkout,tip,youth hostel,reservation
3D Graphics:image,point,join,model,body,light,color,material,unit,camera,position,fire,death,speed,force,move,object,sample,hair,distance
Post Office:picture post car,air mail,return address,insurance,sea mail,postal money order,deliver mail,zip code,junk mail,PO box,letter,printed matter,stamp machine,postal clerk,postage,stamp,cancelled stamp,commemorative stamp,mailman,mailbox
Bank:customer,credit card,credit,pay,security guard,bounced check,joint account,interest,savings account,checking account,foreign currency rate,bill,loan,manager,cash,mortgage,foreign exchange,currency,savings,guard
Geometry:area,form,point,model,range,similar,net,central,period,face,base,mean,degree,focus,regular,normal,surface,fixed,square,couple
Sport:box,play,car racing,field,club,major,net,table tennis,player,weight,golf,base,field hockey,move,score,win,sport,golf clothes,fitness,football
Phones:game,download,text,digital,application,camera,wireless,bar,screen,exchange,band,contract,browser,voice,skin,coverage,touch,speaker,frequency,carrier
Software:data,program,code,server,event,function,build,object,client,command,input,output,bug,variable,expression,loop,commit,container,app,artifact
Crime:break out,get away,police car,store detective,legal,car alarm,private detective,child abuse,police,charge,rape,judge,lawyer,kill,gun,illegal,alarm,rob,prison,escape
City Name:oklahoma city,long beach,london,washington,north las vegas,san francisco,san diego,san antonio,virginia beach,san jose,la rochelle,valkenburg aan de geul,san bernardino,nice,chicago,mexico,saint paul,los angeles,boston,paris
Place:house,office building,library,convenience store,fire department,barber shop,movie theater,bank,church,apartment building,airport,gas station,hospital,bus stop,restaurant,museum,train station,mall,bowling alley,supermarket
Algorithm:language,key,range,child,head,window,function,weight,sort,mean,union,mode,degree,cut,distance,tree,string,block,capacity,flow
School:graduate school,elementary school,college,library,student,president,junior college,locker room,baseball field,soccer field,teacher,secretary,professor,swimming pool,lab,principal,coach,cook,classroom,bathroom
Physics:second,body,energy,natural,period,direct,weight,speed,force,bar,volume,degree,potential,focus,primary,distance,internal,pressure,surface,electric
Accounting:stock,plan,cost,paper,interest,statement,loan,cash,capital,contract,basis,budget,trust,debt,flow,balance,gain,cycle,shares,liability
State:north carolina,south dakota,texas,north dakota,washington,west virginia,california,florida,virginia,rhode island,ohio,georgia,michigan,colorado,illinois,kansas,arizona,pennsylvania,oregon,minnesota
Christmas:cards,baby,white sauce,green,gold,gifts,wise men,manager,holiday,season,Christ Child,inn,traffic,vacation,Mary,Lord,Christmas cookies,spirit,birth,Jesus
Classroom:book,map,computer,white board,bulletin board,calendar,dictionary,chair,desk,clock,notebook,pen,textbook,pencil,pencil sharpener,chalk,blackboard,blackboard eraser,bookcase,eraser
Startup:market,model,plan,mobile,space,growth,capital,deal,round,option,interface,strategy,stage,funding,equity,beta,angel,investor,exit,acquisition
Design:value,print,point,register,space,style,logo,dark,scale,square,poster,column,depth,height,font,row,import,layer,proof,width
Fire Fighting:search light,fire department,volunteer fire department,fire alarm box,fire,fire chief,fire escape,fire extinguisher,fire hydrant,wrecking bar,smoke,victim,oxygen mask,smoke jumper,flame,hose,ambulance,parachute,fireman,arson
Radio:share,radio,format,log,edit,player,copy,hour,band,bed,feed,remote,programming,monitor,credits,gain,frequency,spot,FM,engineer
Filmmaking:light,film,director,sound,camera,speed,double,score,editor,extra,agent,filter,reader,coverage,shot,assistant,credits,designer,operator,genre
Construction:course,story,light,run,fall,survey,valley,grade,vehicle,panel,core,frame,detail,square,joint,column,rise,circuit,hip,cap
Restaurant:order,check,water,bill,menu,cup,coffee,breakfast,drink,tea,dinner,salt,lunch,knife,fork,dressing,dessert,spoon,hamburger,napkin
Gaming:team,action,model,player,points,score,sport,strategy,vehicle,flight,platform,camp,adventure,flag,spam,scene,gun,plasma,rail,animation
Tool:post hole digger,box end wrench,small hand cultivator,portable power saw,small wrecking bar,drill press,large screwdriver,hand drill,garden hoe,side cutting pliers,saw,tree pruner,bench saw,electric drill,circular saw,metal snips,tube flaring tool,sharpening stone,wire brush,router
Algorithms:average,simple,active,mean,lower,mode,perfect,maximum,forward,abstract,internal,external,minimum,fixed,square,random,brute force,universal,extended,matching
Country:China,North Korea,France,Germany,India,Japan,Mexico,Italy,Iraq,Spain,Israel,Russia,Brazil,Turkey,Thailand,Iran,Taiwan,Greece,Pakistan,Egypt
Travel:class,space,conference,transfer,agent,pass,driver,trip,suite,flight,checkout,origin,destination,seat,ticket,operator,transit,coach,leisure,carrier
Color:green,gold,yellow green,yellow,silver,violet red,brown,steel,coffee,pink,orange,snow,cream,chocolate,navy,gray,bone,jet,purple,desert
Weather:weather,clear,nice,degree,cool,dry season,pressure,dark,wind,temperature,ice,cold,heat,rainy season,snow,dry,forecast,moon,sky,rain
Typography:color,style,en,weight,copy,river,modern,leading,character,column,em,font,width,symbol,bold,roman,margin,baseline,bullet,headline
Manupulation:create,put,edit,sort,turn,copy,lower,connect,separate,delete,replace,modify,raise,split,throw,extend,combine,stretch,swap,organize
Network:domain,active,port,client,traffic,resolution,session,patch cable,driver,path,switch,multi hop,bridge,protocol,layer,transmission,adapter,node,transaction,gateway
Catering:dining room,environment,menu,glass,secure,kitchen,wine,restaurant,cup,breakfast,prepared,tip,dinner,salt,cook,plate,cooking,chocolate,dish,rice
Car Parts:engine block,sun visor,turn signal,door,license plate,filter,oil cap,battery,oil gauge,switch,gear,door handle,oil dipstick,motor,joint,master cylinder,fan belt,seat,clock,temperature gauge
Smoking:tax,legal age,smoking section,non smoker,package,light smoker,filter,lung cancer,vending machine,heavy smoker,chain smoker,smoke,passive smoke,cigarette butt,addiction,ash,ash tray,tar,smoker,nicotine
City:road,building,bank,fire station,police station,station,bus stop,train station,square,avenue,train,parking meter,downtown,parade,subway entrance,pedestrian crossing,fountain,mailbox,sidewalk,roadway
Creation:start,create,base,build,improve,develop,begin,produce,establish,expand,launch,generate,extend,boost,construct,forge,multiply,spawn,invent,actualize
Insurance:rate,value,agreement,agent,benefit,limit,audit,accident,asset,attachment,clause,assurance,participant,assumption,appraisal,arbitration,annuity,amortization,adjuster,actuary
Real Estate:lot,mortgage,taking,contract,survey,option,agent,rent,grant,buyer,equity,inventory,lease,yield,broker,margin,inflation,assumption,appreciation,zoning
Water:bay,river,port,channel,spring,sea,pool,stream,creek,falls,ocean,delta,mouth,neck,harbor,gulf,wash,shore,surf,basin
Data Structure:field,record,union,tree,bin,filter,string,dictionary,bag,matrix,array,vector,buffer,graph,container,stack,queue,hash,heap,zipper
Body:face,blood,hair,feet,skin,eye,hands,eyes,foot,brain,hip,arm,mouth,legs,muscle,bone,leg,neck,ear,throat
Education:student,president,graduate student,head teacher,vice president,teacher,graduate assistant,lab assistant,principal,instructor,undergraduate,qualify,qualification,educate,lecturer,pupil,educator,schoolgirl,headmaster,schoolboy
People Related:responsible,friendly,happy,beautiful,poor,creative,interesting,helpful,successful,rich,famous,practical,crazy,cute,dangerous,exciting,thin,athletic,lucky,romantic
Character:independent,happy,strong,creative,helpful,patient,soft,serious,smart,religious,funny,proper,plain,warm,bright,sensitive,bold,proud,quiet,tough
Stationery:paper clips,paper punch,expanding files,letter scales,letter opener,clip,tape,label maker,ring binder,desk pad,correction tape,magic marker,desk tray,folder,tape dispenser,pen,hanging folder,rubber stamp,glue stick,correction fluid
Material:skin,wood,steel,leather,stone,diamond,plastic,golden,felt,cast iron,iron,cotton,carbon,concrete,rubber,vinyl,sand,fiber,copper,brass
Newspaper:morning edition,evening edition,editor,feature,extra,advice column,advertisement,editorial,comics,cartoon,reporter,photographer,circulation,headline,correspondent,columnist,obituary,interviewer,newsstand,tabloid
Shoe and Footwear:golf shoes,shoes,basketball shoes,dress shoes,tennis shoes,casual shoes,steel toed shoes,spike shoes,boots,rubber boots,thongs,cowboy boots,pumps,sandals,slippers,spikes,sneakers,clogs,loafers,moccasins
Food:fish,coffee,ice,roll,drink,tea,recipe,cream,plate,chocolate,fruit,pan,dish,rice,milk,beer,meat,taste,cheese,cake
Age:young,mature,modern,fresh,vintage,contemporary,raw,ancient,novel,antique,aged,juvenile,worn,obsolete,immature,shabby,stale,ragged,archaic,primordial
Corporate job:buyer,developer,assistant,associate,designer,representative,administrator,writer,specialist,engineer,consultant,controller,instructor,analyst,producer,coordinator,supervisor,clerk,planner,trainer
Machine Learning:feature,prior,transfer,factor,accuracy,instance,objective,parameter,cluster,precision,generator,dimension,boundary,recall,bias,correlation,batch,confusion,hypothesis,regression
Driving:pass,coast,avenue,bridge,handle,lane,circle,exit,highway,loop,shift,rev,median,shoulder,curve,tail,brake,tunnel,barrier,terrace
Justice:trial,death penalty,justice,capital punishment,defense,judge,lawyer,appeal,prison,sentence,witness,guilty,jury,innocent,jail,punishment,caution,prosecution,offence,corporal punishment
Movement:turn,race,stand,skip,jump,walk,hop,sit,rush,spin,sprint,dash,bolt,hike,hurry,crawl,stroll,tread,sway,roam
Container:basket,bag,pocket,plate,carrier,bowl,pan,folder,bottle,holder,tube,cabinet,packet,rack,drum,chest,pot,container,trunk,tin
Job:professor,doctor,criminal,judge,lawyer,coach,engineer,pilot,nurse,actor,baker,broker,clerk,farmer,soldier,chef,priest,actress,poet,musician
Nationality:Chinese,German,Australian,Russian,Italian,Greek,Swiss,Mexican,Korean,Swedish,Turkish,Norwegian,Cuban,Romanian,Ukrainian,Belgian,Armenian,Venezuelan,Guatemalan,Yugoslavian
3D Printing:bed,resolution,sheet,motor,concept,accuracy,mesh,shell,belt,frog,envelope,catalyst,carriage,slice,deposition,filler,raft,facet,filament,monomer
Communicate:talk,chat,express,ring,speak,remark,gossip,scream,shout,bark,jaw,converse,whisper,chatter,yak,drone,babble,murmur,gulp,blather
Writing:canon,draft,editorial,proposal,hardcover,biography,genre,novel,plot,assignment,deadline,pace,outline,dialogue,bibliography,hook,narrative,formatting,myth,imprint
Shape:flat,square,solid,straight,compact,circle,broad,narrow,thin,irregular shape,thick,pointed,slim,triangle,oval,cylinder,sphere,bent,cone,pentagon
Motorcycle:turn signal,front tire,gas tank,chain,gear shift,seat,disk brake,inner tube,drum brake,rearview mirror,shock absorber,brake pedal,brake lever,fender,clutch lever,headlight,muffler,spokes,handlebar,speedometer
Sports:hit,block,trip,jump,fight,catch,rush,kick,shoot,spin,chase,grip,tackle,leap,bounce,cheer,slash,sack,intercept,dunk
Linear Algebra:basis,column,flag,row,matrix,combination,identity,kernel,vector,independence,dimension,projection,span,norm,similarity,inverse,tensor,determinant,subspace,transpose
Chemistry:charge,element,atom,acid,frequency,wave,concentration,radiation,ion,compound,velocity,electron,mixture,particle,catalyst,decay,molecule,combustion,nucleus,proton
Plants:palm,root,flower,fruit,seed,grove,leaf,grass,shoot,blade,trunk,stem,grain,brush,bean,sage,sap,berry,jungle,nut
Dessert:ice cream,sweet roll,apple pie,birthday cake,fruit,sweet rolls,chocolate cake,chocolate chip cookie,cookies,cake,whip cream,candy,cookie,potato chips,pie,pudding,muffin,donut,doughnuts,doughnut
Drink:coffee,ice coffee,ice tea,soft drink,tea,orange juice,milk,beer,juice,tomato juice,punch,cocktail,liquor,soda,cocoa,coke,brandy,whiskey,lemonade,milkshake
Animal:bird,fly,turkey,fox,chicken,eagle,seal,tiger,wolf,lion,camel,rat,bull,deer,monkey,spider,rabbit,sheep,beaver,bee
Clothes:cap,hat,sweat shirt,suit,boots,belt,jacket,pants,tie,shorts,coat,jeans,gloves,pantyhose,skirt,stockings,socks,jumper,trousers,sweater
Refrigerator:fan,switch,handle,freezer door,ice cube tray,drain pan,shelf,meat keeper,egg tray,butter compartment,dairy compartment,refrigerator compartment,defrost timer,freezer compartment,compressor,condenser coil,defrost heater,evaporator coil,gasket,crisper
Vehicle:road grader,bus,container truck,tank,dump truck,crane truck,motorcycle,concrete mixer,jeep,bicycle,taxi,tractor,ambulance,scooter,minibus,taxicab,bulldozer,wrecker,sidecar,snowplow
Car:joint,wheel,transmission,converter,mirror,rack,sensor,valve,starter,differential,cabin,cylinder,bumper,heater,booster,clutch,compressor,radiator,manifold,rotor
Grphics:fill,delete,zoom,replace,mask,stretch,extract,translate,trim,composite,paste,distribute,flip,transform,align,rotate,warp,tweak,skew,invert
Head:eye,lower jaw,mouth,upper jaw,temple,ear,nose,tongue,lip,tooth,chin,cheek,mole,forehead,wrinkles,gums,eyebrow,freckles,dimple,pimple
Transportation:boat,truck,train,swimming,jet,motorcycle,ferry,bicycle,taxi,yacht,helicopter,airplane,scooter,subway,canoe,submarine,kayak,raft,dinghy,sailboat
Bread:brown bread,coffee cake,sweet rolls,cookies,cake,corn bread,cheese sticks,wheat bread,garlic bread,pie,rolls,rye bread,sourdough bread,biscuits,crackers,muffins,pancakes,waffles,doughnuts,croissant
Thanksgiving:native,turkey,dinner,sweet potato,corn,autumn,harvest,treaty,parade,pumpkin pie,cranberry sauce,grateful,colony,feast,cranberry,pilgrim,stuffing,gravy,yam,carve
Men's Clothes:shirt,sport coat,belt,pants,suit coat,crew neck sweater,bow tie,socks,boxer shorts,briefs,vest,turtleneck sweater,trench,cardigan,parka,suspenders,necktie,raincoat,overcoat,undershirt
Winter:cold,Merry Christmas,hat,boots,coat,candle,frost,freeze,fireplace,chill,scarf,sleigh bells,skates,blizzard,snowman,sled,shovel,snowflake,mittens,snowstorm
Art:mix,draw,paint,chip,exhibit,coat,outline,trace,restore,shade,sketch,chalk,stencil,carve,doodle,etch,chisel,sculpt,emboss,daub
Bicycle:chain guard,rear brake,rear tire,tire pump,baggage carrier,spoke,hub,brake,tire,grip,fork,rim,brake lever,saddle,fender,pedal,headlight,handlebar,gearshift,kickstand
Vegetable:Japanese radish,snow peas,sweet potato,broad beans,corn,beans,chick peas,potato,onion,tomatoes,garlic,peas,tomato,bean sprouts,Brussels sprouts,pumpkin,popcorn,cabbage,spinach,carrot
Furniture:desk,seat,cabinet,lamp,chest,shelf,bench,sofa,closet,couch,stool,sectional,ottoman,dresser,futon,armchair,bookcase,cupboard,chaise,sideboard
Meat:chicken leg,chicken wing,buffalo,beef,tongue,rabbit,duck,kidney,ham,lamb,pork,bacon,goat,elk,lamb chop,steak,roast,sausage,bison,hamburger
Olympic:tennis,hockey,shooting,athletics,cycling,sailing,boxing,volleyball,softball,fencing,gymnastics,equestrian,archery,rowing,badminton,triathlon,canoeing,judo,aquatics,handball
Cooking:mixing bowl,burn,knife,steam,grill,microwave,fork,measuring spoon,timer,dip,stir,slice,fry,spoon,bake,barbecue,toast,roast,melt,boil
Emotions:mad,glad,sad,afraid,excited,sunny,angry,calm,worried,scared,shy,lively,jolly,tense,furious,cheerful,weary,icy,wary,tranquil
Predator:python,eagle,tiger,wolf,lion,jaguar,shark,owl,cobra,lynx,badger,viper,leopard,coyote,marlin,boa,crocodile,wolverine,cougar,osprey
Apex Predators:python,eagle,tiger,wolf,lion,jaguar,shark,owl,cobra,lynx,badger,viper,leopard,coyote,marlin,boa,crocodile,wolverine,cougar,osprey
Bird:eagle,duck,chick,hawk,swift,penguin,owl,swan,raven,crow,falcon,drake,swallow,goose,hen,dove,pigeon,parrot,canary,pelican
Automobile:truck,hybrid,jeep,taxi,convertible,wagon,coupe,sedan,suv,limousine,limo,hatchback,roadster,minivan,cabriolet,dragster,hearse,humvee,hotrod,subcompact
Astronomy:fusion,omega,electron,radius,gravity,envelope,magnitude,flux,halo,brightness,nucleus,proton,corona,photon,neutron,relativity,convection,pulsar,photometry,neutrino
Appearance:burning,brilliant,sunny,worn,pale,wan,colorful,vivid,vibrant,dull,shiny,glossy,matte,sleek,radiant,faded,glowing,blazing,weathered,muted
Taste:dry,plain,mild,bitter,sour,spicy,creamy,moist,tart,oily,salty,gritty,savory,greasy,crispy,crunchy,chewy,tangy,zesty,chalky
Cat:tom,oriental,persian,ginger,bombay,bengal,siberian,burmese,himalayan,calico,siamese,marmalade,tabby,balinese,angora,javanese,birman,longhair,bobtail,korat
Fruit:lemon,berry,blackberry,banana,lime,pear,strawberry,coconut,citrus,peach,grape,plum,grapes,pineapple,mango,cranberry,kiwi,raspberry,blueberry,apricot
Instruments:ride cymbal,bell lyre,orchestra bells,tenor drum,crash cymbals,triangle,snare drum,splash cymbal,gong,chimes,celeste,cymbals,cymbal,scraper,sizzle cymbal,cowbell,conga,marimba,xylophone,bongos
Condiment:honey,butter,pepper,olive,onion,garlic,chili,salsa,mustard,vinegar,dill pickle,relish,margarine,mayonnaise,ketchup,pesto,horseradish,miso,chutney,wasabi
Fast Food:frank,wrap,sandwich,burger,melt,philly,taco,clubhouse,slider,hamburger,muffin,reuben,bagel,pita,burrito,BLT,pretzel,cheeseburger,panini,hoagie
Dental Care:breath,teeth,filling,tooth fairy,erosion,dentist,enamel,chew,whitening,fluoride,toothbrush,floss,gums,toothpaste,cavities,molar,periodontal,toothpick,mouthwash,gingivitis
Architecture:arch,patio,terrace,pavilion,bracket,courtyard,balcony,brace,molding,truss,setback,facade,belvedere,spire,turret,gallerie,veranda,archway,portico,frieze
Fish and Things in Water:salmon,shark,trout,pike,shrimp,crab,lobster,tuna,oyster,carp,herring,perch,sturgeon,eel,halibut,swordfish,crayfish,tadpole,sardine,crawdad
Seasoning:lemon,sage,ginger,curry,soda,cinnamon,rosemary,sesame,basil,parsley,mace,thyme,cayenne,dill,nutmeg,oregano,cumin,coriander,cilantro,fennel
Instrument:triangle,snare drum,violin,flute,trumpet,harp,viola,clarinet,saxophone,gong,trombone,oboe,tuba,baritone,piccolo,bassoon,cymbal,bugle,cornet,euphonium
Word Ending in ful:painful,harmful,awful,colorful,handful,thoughtful,lawful,playful,graceful,doubtful,dreadful,shameful,rightful,bountiful,mouthful,spoonful,mournful,tearful,boastful,teaspoonful
Cotton:fleece,velvet,denim,plaid,twill,flannel,chino,corduroy,jacquard,velour,chenille,pique,gingham,pinstripe,damask,poplin,voile,broadcloth,chambray,moleskin
Fish:trout,tuna,carp,herring,marlin,pollock,perch,barracuda,angler,eel,snapper,halibut,flounder,mullet,mackerel,grouper,blowfish,scallop,betta,haddock
Flower:orchid,jasmine,tulip,thistle,sunflower,poppy,lilac,carnation,geranium,dahlia,crocus,pansy,peony,daffodil,hyacinth,mimosa,narcissus,begonia,foxglove,gladiolus
Dog:retriever,hound,maltese,husky,pug,spaniel,rottweiler,beagle,collie,setter,poodle,dachshund,harrier,dingo,pinscher,feist,spitz,westie,whippet,borzoi
Wine:sherry,mead,cabernet,sauvignon,madeira,chardonnay,pinot,merlot,shiraz,chianti,muscat,riesling,zinfandel,claret,chablis,beaujolais,chinon,grappa,barolo,malbec
Cheese:brick,colby,romano,cheddar,parmesan,mozzarella,brie,feta,ricotta,gouda,muenster,gorgonzola,provolone,camembert,asiago,mascarpone,edam,fontina,havarti,limburger
Post Office:mail,post card,post office box,personal mail,address,picture post car,air mail,return address,insurance,sea mail,postal money order,deliver mail,zip code,junk mail,PO box,letter,printed matter,stamp machine,postal clerk,postage,stamp,cancelled stamp,commemorative stamp,mailman,mailbox,postbox
Newspaper:back page,front page,TV guide,newspaper office,lead story,morning edition,evening edition,editor,feature,extra,advice column,advertisement,editorial,comics,cartoon,reporter,photographer,circulation,headline,correspondent,columnist,obituary,interviewer,newsstand,tabloid,newsprint
Linear Algebra:map,form,image,space,function,basis,column,flag,row,matrix,combination,identity,kernel,vector,independence,dimension,projection,span,norm,similarity,inverse,tensor,determinant,subspace,transpose,congruence
3D Printing:support,model,step,printer,structure,bed,resolution,sheet,motor,concept,accuracy,mesh,shell,belt,frog,envelope,catalyst,carriage,slice,deposition,filler,raft,facet,filament,monomer,overhang
Olympic:table tennis,football,baseball,basketball,modern pentathlon,tennis,hockey,shooting,athletics,cycling,sailing,boxing,volleyball,softball,fencing,gymnastics,equestrian,archery,rowing,badminton,triathlon,canoeing,judo,aquatics,handball,weightlifting
Word Ending in ful:beautiful,useful,helpful,powerful,careful,painful,harmful,awful,colorful,handful,thoughtful,lawful,playful,graceful,doubtful,dreadful,shameful,rightful,bountiful,mouthful,spoonful,mournful,tearful,boastful,teaspoonful,cupful
Appearance:light,dark,flat,clean,bright,burning,brilliant,sunny,worn,pale,wan,colorful,vivid,vibrant,dull,shiny,glossy,matte,sleek,radiant,faded,glowing,blazing,weathered,muted,drab,pallid
Cotton:jersey,oxford,terry,canvas,heather,fleece,velvet,denim,plaid,twill,flannel,chino,corduroy,jacquard,velour,chenille,pique,gingham,pinstripe,damask,poplin,voile,broadcloth,chambray,moleskin,gabardine,pointelle
Hotel:check in,single with bath,information desk,room service,hotel,service charge,room number,gift shop,single room,tax,money exchange,coffee shop,double room,morning call,twin room,room maid,inn,extra bed,floor,restaurant,suite,checkout,tip,youth hostel,reservation,motel,newsstand,bellboy
Justice:community service,court case,court,cell,fine,trial,death penalty,justice,capital punishment,defense,judge,lawyer,appeal,prison,sentence,witness,guilty,jury,innocent,jail,punishment,caution,prosecution,offence,corporal punishment,probation,verdict,imprisonment
Data Structure:list,set,map,image,table,field,record,union,tree,bin,filter,string,dictionary,bag,matrix,array,vector,buffer,graph,container,stack,queue,hash,heap,zipper,trie,deque,octree,quadtree
Sports:board,save,stop,score,pass,hit,block,trip,jump,fight,catch,rush,kick,shoot,spin,chase,grip,tackle,leap,bounce,cheer,slash,sack,intercept,dunk,fumble,huddle,dribble,deke
Furniture:table,baby bed,bed,hall stand,chair,desk,seat,cabinet,lamp,chest,shelf,bench,sofa,closet,couch,stool,sectional,ottoman,dresser,futon,armchair,bookcase,cupboard,chaise,sideboard,loveseat,settee,pouf,banquette
Seasoning:bay,salt,sugar,mint,pepper,lemon,sage,ginger,curry,soda,cinnamon,rosemary,sesame,basil,parsley,mace,thyme,cayenne,dill,nutmeg,oregano,cumin,coriander,cilantro,fennel,paprika,turmeric,tarragon,arrowroot
Time Related:now and then,once in a while,in a few minutes,from time to time,for a long time,once upon a time,after,later than,last week,before,earlier than,many times,many years ago,today,during,long ago,never,always,usually,often,soon,recently,sometimes,yesterday,frequently,tomorrow,occasionally,rarely,afterwards,lately
Prepositions:through,under,off,before,within,between,down,following,without,since,during,times,save,around,against,below,above,until,past,upon,plus,far,along,among,near,across,inside,outside,round,behind
Business:sales,market,industry,plan,feedback,complete,payment,equipment,sell,experience,pay,result,offer,interest,share,delivery,environment,costs,present,bill,risk,production,choose,knowledge,receive,purchase,loss,brand,discount,increase
Corporate:market,action,model,human,application,staff,language,experience,paper,issue,result,future,space,learning,central,direct,district,resource,material,global,corporate,practice,availability,regional,dog,solution,capital,lead,channel,idea
Frequency:every third day,very often,three times,every week,four times,every night,every month,several times,never,every Monday,every hour,always,once,almost never,daily,almost always,usually,often,nearly always,quite often,hardly ever,sometimes,monthly,weekly,generally,frequently,twice,normally,regularly,constantly
Job Related:country,elementary school,college,present address,previous experience,zip code,street,experience,single,age,junior college,weight,position,apply,skills,criminal record,male,marital status,female,felony record,employee,vision,physical examination,hearing,height,married,birthday,gender,certification,employer
Military:director,island,front,cover,watch,magazine,step,base,commission,engine,dog,leave,division,contract,glass,survey,secure,station,ship,distance,charge,battery,block,father,driver,jack,frame,chief,installation,gear
Web:browse,event,share,log,close,url,document,error,receive,domain,chat,object,button,transfer,traffic,valid,filter,host,fixed,frame,connect,module,monitor,bug,keyword,stream,load,touch,chart,script
Music:region,record,lyrics,step,bit,notes,engine,stop,bar,effect,volume,score,sample,channel,song,hold,cut,session,skin,rest,string,flat,scale,frame,clean,switch,gear,listen,canon,bus
Computer:comment,memory,format,close,database,function,method,hardware,copy,printer,menu,object,cut,command,input,output,processing,string,block,keyword,argument,multimedia,interactive,icon,delete,mouse,graphic,font,scope,replace
School:technical school,graduate school,elementary school,college,library,student,president,junior college,locker room,baseball field,soccer field,teacher,secretary,professor,swimming pool,lab,principal,coach,cook,classroom,bathroom,gym,nursery,librarian,playground,kindergarten,cafeteria,janitor,classmate,headmaster
Baseball:three balls,run,farm team,visiting team,short stop,left fielder,four ball,major league,second baseman,four balls,fast ball,field umpire,hit,batting average,block,third baseman,face mask,ball,spiked shoes,walk,straight ball,minor league,signal,extra inning,baseball cap,cap,coach,switch hitter,slide,knuckle ball
